11000/30000 PDE Loss: 19737.84961, BC Loss: 9855.52832,                   mse loss: 29593.378906, combined loss: -984.27386
11050/30000 PDE Loss: 5485.51367, BC Loss: 636.97675,                   mse loss: 6122.490234, combined loss: 1968.24707
11100/30000 PDE Loss: 2399.06836, BC Loss: 8041.59473,                   mse loss: 10440.663086, combined loss: -335.16260
11150/30000 PDE Loss: 4146.27441, BC Loss: 2904.92700,                   mse loss: 7051.201172, combined loss: 1079.57581
11200/30000 PDE Loss: 970.10095, BC Loss: 446.39270,                   mse loss: 1416.493652, combined loss: 28.19253
11250/30000 PDE Loss: 67.99931, BC Loss: 88.55736,                   mse loss: 156.556671, combined loss: 52.59102
11300/30000 PDE Loss: 32.95182, BC Loss: 38.46551,                   mse loss: 71.417328, combined loss: -54.11003
11350/30000 PDE Loss: 24.99505, BC Loss: 20.49770,                   mse loss: 45.492744, combined loss: 65.08243
11400/30000 PDE Loss: 14.03321, BC Loss: 12.47045,                   mse loss: 26.503662, combined loss: 199.47810
11450/30000 PDE Loss: 19.17842, BC Loss: 14.21087,                   mse loss: 33.389297, combined loss: 33.84060
11500/30000 PDE Loss: 17.16289, BC Loss: 9.55359,                   mse loss: 26.716476, combined loss: 76.73616
11550/30000 PDE Loss: 22.84593, BC Loss: 7.00693,                   mse loss: 29.852858, combined loss: 34.83236
11600/30000 PDE Loss: 20.54103, BC Loss: 3.04446,                   mse loss: 23.585499, combined loss: 12.16606
11650/30000 PDE Loss: 207.41475, BC Loss: 169.48790,                   mse loss: 376.902649, combined loss: -12.76677
11700/30000 PDE Loss: 39.22855, BC Loss: 36.10470,                   mse loss: 75.333252, combined loss: 279.26407
11750/30000 PDE Loss: 20965.44922, BC Loss: 17956.64258,                   mse loss: 38922.093750, combined loss: 1041.35034
11800/30000 PDE Loss: 438.88638, BC Loss: 2598.03320,                   mse loss: 3036.919678, combined loss: -1049.40527
11850/30000 PDE Loss: 59.61245, BC Loss: 346.90964,                   mse loss: 406.522095, combined loss: -579.48279
11900/30000 PDE Loss: 85.42704, BC Loss: 453.07953,                   mse loss: 538.506592, combined loss: 1136.92383
11950/30000 PDE Loss: 1405.16382, BC Loss: 1507.34644,                   mse loss: 2912.510254, combined loss: 1458.43848
12000/30000 PDE Loss: 1033.36670, BC Loss: 610.64972,                   mse loss: 1644.016357, combined loss: -1281.58911
12050/30000 PDE Loss: 750.95679, BC Loss: 745.43323,                   mse loss: 1496.390015, combined loss: 102.58453
12100/30000 PDE Loss: 889.76880, BC Loss: 339.37866,                   mse loss: 1229.147461, combined loss: -165.55978
12150/30000 PDE Loss: 689.07001, BC Loss: 384.35388,                   mse loss: 1073.423828, combined loss: 27.17507
12200/30000 PDE Loss: 180.02492, BC Loss: 73.75432,                   mse loss: 253.779236, combined loss: -28.46460
12250/30000 PDE Loss: 51.24371, BC Loss: 14.37338,                   mse loss: 65.617096, combined loss: -48.80216
12300/30000 PDE Loss: 28.00731, BC Loss: 7.71087,                   mse loss: 35.718182, combined loss: -23.20641
12350/30000 PDE Loss: 236.97749, BC Loss: 134.34424,                   mse loss: 371.321716, combined loss: 2.13269
12400/30000 PDE Loss: 104.78989, BC Loss: 18.78104,                   mse loss: 123.570938, combined loss: 17.60175
12450/30000 PDE Loss: 62.30965, BC Loss: 6.60225,                   mse loss: 68.911896, combined loss: 23.43102
12500/30000 PDE Loss: 67.06842, BC Loss: 5.52728,                   mse loss: 72.595695, combined loss: 30.87529
12550/30000 PDE Loss: 58.92957, BC Loss: 3.65487,                   mse loss: 62.584438, combined loss: 30.85598
12600/30000 PDE Loss: 53.99589, BC Loss: 5.79263,                   mse loss: 59.788517, combined loss: 16.82562
